sample.x	sample.y	jsd
C_diarrhea_103	A_diarrhea_020	0.754076790761701
C_diarrhea_105	A_diarrhea_020	0.790320690108512
C_diarrhea_106	A_diarrhea_020	0.722387704792464
C_diarrhea_107	A_diarrhea_020	0.800038733543778
C_diarrhea_108	A_diarrhea_020	0.755861188061117
C_diarrhea_109	A_diarrhea_020	0.754163283182511
C_diarrhea_110	A_diarrhea_020	0.792022996655069
C_diarrhea_111	A_diarrhea_020	0.762516702861408
C_diarrhea_113	A_diarrhea_020	0.772915504607832
C_recovery_d005	A_diarrhea_020	0.928253403086823
C_recovery_d008	A_diarrhea_020	0.954358400736334
C_recovery_d009	A_diarrhea_020	0.896909573789866
C_recovery_d010	A_diarrhea_020	0.877334942534959
C_recovery_d013	A_diarrhea_020	0.987284669006016
C_recovery_d015	A_diarrhea_020	0.949501612643973
C_recovery_d017	A_diarrhea_020	0.88690254020603
C_recovery_d024	A_diarrhea_020	0.838930660102188
C_recovery_d031	A_diarrhea_020	0.792485801958829
C_recovery_d035	A_diarrhea_020	0.803991040726808
C_recovery_d045	A_diarrhea_020	0.904391298458207
C_recovery_d052	A_diarrhea_020	0.881606043155284
C_recovery_d087	A_diarrhea_020	0.89504292203823
D_diarrhea_006	A_diarrhea_020	0.395128822498688
D_diarrhea_008	A_diarrhea_020	0.271481771954196
D_diarrhea_011	A_diarrhea_020	0.537384431673077
D_diarrhea_012	A_diarrhea_020	0.497286227023471
D_diarrhea_013	A_diarrhea_020	0.480748148031238
D_diarrhea_014	A_diarrhea_020	0.537742260550139
D_diarrhea_018	A_diarrhea_020	0.687750990704045
D_diarrhea_019	A_diarrhea_020	0.700444853551242
D_diarrhea_end	A_diarrhea_020	0.816469618791139
D_recovery_d003	A_diarrhea_020	0.827491023852791
D_recovery_d004	A_diarrhea_020	0.773798194272078
D_recovery_d005	A_diarrhea_020	0.865163860741865
D_recovery_d006	A_diarrhea_020	0.847123980773649
D_recovery_d007	A_diarrhea_020	0.790750910083829
D_recovery_d008	A_diarrhea_020	0.912908376627539
D_recovery_d009	A_diarrhea_020	0.892640539387439
D_recovery_d010	A_diarrhea_020	0.907722605585004
D_recovery_d012	A_diarrhea_020	0.793487977261279
D_recovery_d014	A_diarrhea_020	0.917307182459856
D_recovery_d016	A_diarrhea_020	0.877382648458088
D_recovery_d023	A_diarrhea_020	0.850446852764674
D_recovery_d030	A_diarrhea_020	0.863781666056554
D_recovery_d086	A_diarrhea_020	0.908234778431802
E_diarrhea_007	A_diarrhea_020	0.093822012610163
E_diarrhea_022	A_diarrhea_020	0.0935643044887787
E_diarrhea_030	A_diarrhea_020	0.132692822648657
E_diarrhea_035	A_diarrhea_020	0.549921254965485
E_diarrhea_047	A_diarrhea_020	0.849654526340281
E_diarrhea_051	A_diarrhea_020	0.805236858549744
E_diarrhea_053	A_diarrhea_020	0.815388285092608
E_diarrhea_058	A_diarrhea_020	0.76610370337131
E_diarrhea_061	A_diarrhea_020	0.82083501072566
E_diarrhea_062	A_diarrhea_020	0.790643252055255
E_diarrhea_064	A_diarrhea_020	0.802975061977846
E_diarrhea_065	A_diarrhea_020	0.71309498442509
E_diarrhea_066	A_diarrhea_020	0.764377164587794
E_diarrhea_end	A_diarrhea_020	0.845429890794157
E_recovery_d004	A_diarrhea_020	0.832201979954746
E_recovery_d007	A_diarrhea_020	0.903185333963459
E_recovery_d008	A_diarrhea_020	0.930974944969798
E_recovery_d009	A_diarrhea_020	0.943305464072173
E_recovery_d010	A_diarrhea_020	0.924479510843818
E_recovery_d011	A_diarrhea_020	0.833644329188981
E_recovery_d024	A_diarrhea_020	0.963203387154801
F_diarrhea_005	A_diarrhea_020	0.579993039769247
F_diarrhea_007	A_diarrhea_020	0.801912400442508
F_diarrhea_008	A_diarrhea_020	0.802361423046766
F_diarrhea_009	A_diarrhea_020	0.801816155324417
F_diarrhea_010	A_diarrhea_020	0.76957474694603
F_diarrhea_011	A_diarrhea_020	0.758045804941547
F_diarrhea_012	A_diarrhea_020	0.79187411242906
F_diarrhea_015	A_diarrhea_020	0.748558571961523
F_diarrhea_016	A_diarrhea_020	0.728726644922195
F_diarrhea_017	A_diarrhea_020	0.740211886009341
F_diarrhea_018	A_diarrhea_020	0.762834179803789
F_diarrhea_019	A_diarrhea_020	0.765824687915545
F_diarrhea_020	A_diarrhea_020	0.793961272730489
F_diarrhea_021	A_diarrhea_020	0.799931570156337
F_diarrhea_022	A_diarrhea_020	0.803501214837887
F_diarrhea_023	A_diarrhea_020	0.802531675454729
F_diarrhea_025	A_diarrhea_020	0.795160299140794
F_diarrhea_026	A_diarrhea_020	0.817603954392252
F_diarrhea_027	A_diarrhea_020	0.799098996868316
F_diarrhea_028	A_diarrhea_020	0.783133413191146
F_diarrhea_029	A_diarrhea_020	0.803149287605602
F_diarrhea_030	A_diarrhea_020	0.799423934399774
F_diarrhea_031	A_diarrhea_020	0.800993901475712
F_diarrhea_032	A_diarrhea_020	0.818653833129799
F_diarrhea_033	A_diarrhea_020	0.849787301700458
F_diarrhea_034	A_diarrhea_020	0.861286619425154
F_diarrhea_end	A_diarrhea_020	0.822563887651138
F_recovery_d004	A_diarrhea_020	0.918769114443009
F_recovery_d005	A_diarrhea_020	0.860173087547636
F_recovery_d006	A_diarrhea_020	0.894306554272718
F_recovery_d007	A_diarrhea_020	0.863606683827218
F_recovery_d008	A_diarrhea_020	0.858245320391391
F_recovery_d009	A_diarrhea_020	0.958019231353641
F_recovery_d010	A_diarrhea_020	0.891739101324796
F_recovery_d013	A_diarrhea_020	0.970820988379597
F_recovery_d015	A_diarrhea_020	0.926368918551024
F_recovery_d017	A_diarrhea_020	0.968227899863864
F_recovery_d021	A_diarrhea_020	0.963514196538321
F_recovery_d031	A_diarrhea_020	0.970684603195832
F_recovery_d038	A_diarrhea_020	0.938739088354241
F_recovery_d045	A_diarrhea_020	0.964063676434104
F_recovery_d052	A_diarrhea_020	0.973755480666114
F_recovery_d087	A_diarrhea_020	0.970636089960327
G_diarrhea_005	A_diarrhea_020	0.370284854816151
G_diarrhea_009	A_diarrhea_020	0.376002348215637
G_diarrhea_012	A_diarrhea_020	0.368342594505466
G_diarrhea_013	A_diarrhea_020	0.496992228784739
G_diarrhea_014	A_diarrhea_020	0.552516181705346
G_diarrhea_015	A_diarrhea_020	0.616317338854259
G_diarrhea_016	A_diarrhea_020	0.517963860190667
G_diarrhea_017	A_diarrhea_020	0.684722854096646
G_diarrhea_018	A_diarrhea_020	0.726736266789168
G_diarrhea_020	A_diarrhea_020	0.767340590075522
G_diarrhea_021	A_diarrhea_020	0.721377101927311
